Feature,Description
Scan-and-go checkout,Customers scan product barcodes with their phone and pay in-app
Barcode scanning,"Standard barcodes, GS1 databars, EAN/UPC, Reduce to Clear (Avery Dennison markdown barcodes)"
Shopping basket,"Per-customer, per-store cart with expiry, quantity limits, and real-time price updates"
Wishlist,"Save-for-later items, transferable to basket"
Product search & browsing,Category-based navigation with hierarchical categories (up to 3 levels)
Product variants,"Colour/size, colour-hex/size, and addon-based variant themes"
Stock level checking,Real-time stock availability per store
Item images,Product image serving with Cloudinary CDN integration
Age-restricted items,Manual verification workflow requiring staff approval for alcohol/tobacco
Max basket quantity limits,Per-item purchase quantity restrictions
Geofencing,Location-based access control ensuring customers are physically near the store
8 promotion family types,"Easy, Easy Plus, Combo, Line Special, Basket Threshold, Basket Threshold with Discounted Target, Meal Deal, Receipt"
Best-discount algorithm,Graph-based clustering to find the optimal combination of promotions for a basket
Layered promotion evaluation,"Promotions applied in priority layers (e.g., loyalty before general)"
Per-product and per-basket evaluation,Promotions can trigger on individual items or basket totals
Percentage and fixed-amount discounts,Both discount types supported across all families
Coupon validation & redemption,Via external MS Loyalty Service
Voucher discounts,Voucher code entry and validation
Student discounts,Retailer-configurable student discount programs
Staff/on-the-fly discounts,Dynamic discounts created at checkout time
Referral campaigns,Share-a-code referral programs with rewards for both referrer and referee
Italian government lottery codes,Lotteria degli Scontrini integration
Donation programs,Charitable donation add-ons at checkout
Promotion data import,"Automated ingestion from retailer CSV, ASC, and XML-RPC files"
Simple promotions,"Lightweight discount types (simple discount, meal deal, X for Y) for specific retailers"
35+ payment gateways via MS Pay,"Adyen, Stripe, Braintree, PayPal, and many more"
22 legacy direct PSP integrations,Older direct integrations still active for some retailers
3D Secure authentication,Card verification with redirect/OTP flows
Preauthorization and capture,"Two-step payment flow (authorize first, capture on completion)"
Apple Pay,Mobile wallet payments
Google Pay,Mobile wallet payments
Saved cards,Tokenized card storage for repeat purchases
Partial payments,Split payment across multiple methods
Bypass payment,Zero-amount orders (100% discounted items skip payment)
Payment session management,Transient payment attempts with lifecycle tracking
Payout scheduling,Automated fund transfers from MishiPay to retailer bank accounts
Payment webhooks,Async payment status updates from PSPs
XPay/NFC payments,Contactless payment support (Saturn Smart Pay)
Sequential order numbering,Per-store o_id with database-level locking
POS log transaction IDs,Sequential IDs for retailer ERP/POS integration
Order completion pipeline,Multi-step: VAT calculation → poslog assignment → fulfilment → receipt → coupon redemption → notifications
30+ retailer-specific fulfilment implementations,Each retailer has custom post-payment processing
Click & Collect,"Online order with in-store pickup, own status lifecycle (created → accepted → ready_to_collect → collected)"
Order status tracking,Full lifecycle from created through payment to completed/refunded
Refund processing,Partial and full refunds with dashboard-initiated workflows
RFID tag deactivation,7 vendor protocols for disabling security tags after purchase
Offline transaction sync,Stores with unreliable connectivity can sync orders later
VAT/tax calculation,Via ms-tax microservice (gRPC and HTTP)
Duty-free quota tracking,Purchase limits for airport retail (DDF)
SOAP-based fulfilment,"Order dispatch to legacy retail systems (Saturn, LS Retail)"
Saved card orders,Repeat purchase flow using tokenized cards
Email receipts,Transactional emails with localized templates (14 languages)
POS printer receipts,Epson-format receipts for kiosk/counter printers
25 retailer-specific receipt strategies,Custom receipt formatting per retailer
8 receipt types,"Order, Refund, Gift, STEB, Payment Failed, Counter, Payment, Campaign"
Hierarchical receipt configuration,Store+region specificity with fallback chain
Thank-you emails,Post-purchase emails in 9 languages
Firebase push notifications,Real-time notifications to customer devices
MQTT notifications,Real-time RFID tag status to store devices
Payment alert emails,Configurable threshold-based payment alerts
Settlement reconciliation reports,Payment gateway vs internal data comparison emails
Keycloak JWT authentication,Primary auth for mobile/web apps via Kong gateway
Guest checkout,Anonymous shopping sessions using MishiPay ID (device identifier)
Django Token authentication,Legacy/internal auth
15+ retailer loyalty integrations,"Picwic, Eroski, Azpiral/Spar/Londis, Desigual, Virgin, Carters, TalonOne, Flying Tiger, Seventh Heaven/Reelo, MMI, Event Network, and more"
Loyalty card scanning,Link customers to retailer loyalty programmes
Decathlon SSO,"Full OAuth2 integration with Red Discount loyalty tiers (Bronze 5%, Silver 5%, Gold 7%, Platinum 10%)"
